timestamp,cpu_percent,mem_percent,uptime_secs,peers,msg_sent,msg_recv
2026-06-10 04:50:46,0.2,10.4,27583,2,26,40
2026-06-10 04:50:56,0.1,10.4,27593,2,26,40
2026-06-10 04:51:06,0.2,10.4,27603,2,26,40
2026-06-10 04:51:16,0.2,10.4,27613,2,26,40
2026-06-10 04:51:26,0.1,10.4,27623,2,26,40
2026-06-10 04:51:36,0.2,10.4,27633,2,26,40
2026-06-10 04:51:46,0.1,10.4,27643,2,26,40
2026-06-10 04:51:56,0.2,10.4,27653,2,26,40
2026-06-10 04:52:06,19.1,10.6,27663,2,26,40
2026-06-10 04:52:16,24.8,10.6,27673,2,26,40
2026-06-10 04:52:26,21.0,10.6,27683,2,26,40
2026-06-10 04:52:36,23.5,10.7,27693,2,26,40
2026-06-10 04:52:46,27.3,10.7,27703,2,26,40
2026-06-10 04:52:56,22.5,10.6,27713,2,26,40
2026-06-10 04:53:06,21.0,10.7,27723,2,26,40
2026-06-10 04:53:16,25.6,10.8,27733,2,26,40
